cmd,nl
"watch -n 1 ps -C java -o pcpu,state,cputime,etimes","execute ""ps -c java -o pcpu,state,cputime,etimes"" every second"
"find . -type f -ls | awk '{print $(NF-3), $(NF-2), $(NF-1), $NF}'",find all normal/regular files in current folder and display them in sorted order
ln -s $(readlink -f $origlink) $newlink,"create a full path symbolic link ""$newlink"" from a relative path symbolic link ""$origlink"""
"find . -type f -regex "".+-[0-9]+x[0-9]+\.jpg"" | xargs rm","remove the .jpg files from the current directory whose names match regular expression "".+-[0-9]+x[0-9]+\.jpg"""
"find . \( ! -name . -prune \) -name ""*.c"" -print",list .c files in the current directory
cal 2 1900,"prints calendar of february, 1900."
sort -n ip_addresses.txt | uniq -c,"print a count of each unique line in ""ip_addresses.txt"" sorted numerically"
sed -i.bak s/STRING_TO_REPLACE/STRING_TO_REPLACE_IT/g index.html,"replace all instances of ""string_to_replace"" with ""string_to_replace_it"" in file ""index.html"" and make a backup with suffix "".bak"""
cat myfile,"display the contents of ""myfile"" located in the current directory."
fg 1,gets a job with defined number back to the foreground.
od -xcb testscript.sh,"dump ""testscript.sh"" as 2 byte hexadecimale, printable characters, and octal values"
"find . -name ""*.swp"" > rm",find all *.swp files/directories under current directory and print the list to a file named 'rm'
find . -mtime -14 -ls,dispaly a long listing of all the files in the current folder which have been modified in the last 14 days
find /home -perm /a=x,display all executable files in the folder /home
"find /etc -print0 -name ""*.txt"" | xargs -I {} -0 mv {} {}.bak",back up all *.txt files/directories in new files/directories with a .bak extension in their names under /etc directory
find . -name “*.jar” -print -exec jar tvf {} \; |grep -E “jar$|.class”,"find all the jar files in the current folder and display all the "".class"" files or files ending with jar"
"nl -b a ""<filename>"" | grep ""<phrase>"" | awk '{ print $1 }'","print the line number of each matching ""<phrase>"" in ""<filename>"""
find / -uid 1005,display all the files in the file system which belong to the user with the id 1005
"find ~ -name ""*.txt"" — print",find all the text files in the home folder
grep -aR -e . /your/dir | md5sum | cut -c-32,"calculate the md5 sum of all files in ""/your/dir"" including content and filenames and following symbolic links"
"ln -s ""`pwd`"" $1/link","create a symbolic link named ""$1/link"" to the current working directory"
top -l 1 -s 0 -i 1 -stats vprvt -pid PID,get virtual private memory use of process
"1 down vote wc -cl `find . -name ""*.php"" -type f`",display the number of lines in all the php files in the current folder
sudo chown -R test /home/test,"recursively change the owner of all files in ""/home/test"" to ""test"""
"find . -not -path ""*git*"" -not -name '*git*' |grep git",search for the string 'git' in all the files under current directory tree excluding paths and names that contain the string 'git'
find . -name vmware-*.log | xargs -i rm -rf {},"remove all files with names like ""vmware-*.log"" from the current directory tree"
"find -type f -name ""Makefile""",find all makefile's in the current directory tree
"find .  -maxdepth 1 -type d -iname "".[^.]*"" -print0 | xargs -I {} -0 rm -rvf ""{}""",to descend at most one levels of directories below the command line arguments pass the -maxdepth 1 option. this will avoid deleting nested directories:
"find foldername -exec chmod a+rwx {} "";""",set permissions for files in `foldername' to 777
"find . -name ""*oraenv*"" -type f -exec file {} \;","find regular files matching pattern ""*oraenv*"" and excecute the ""file"" utility for each of them"
"DATA=$( find ""${1}"" -type f -exec ${MD5} {} ';' | sort -n )","execute ""${md5}"" on all files found under ""${1}"", numerically sort the results, and save to variable ""data"""
"grep -r -l 'searchtext' . | sort | uniq | xargs perl -e ""s/matchtext/replacetext/"" -pi","recursively search the current directory for unique entries of ""searchtext"" and replace ""matchtext"" with ""replacetext"""
rsync -aHvz /path/to/sfolder name@remote.server:/path/to/remote/dfolder,"archive ""/path/to/sfolder"" to ""name@remote.server:/path/to/remote/dfolder"" preserving hard links and compressing the data during transmission"
find . -name $1 -type f -exec grep -i $2 '{}' \;,search for the case insensitive regex expanded by $2 in all files named $1 (to be expanded) under current directory
ls -ld /tmp /tnt,"prints long listing of directories '/tmp', '/tnt' themselves."
cat $file | cut -c 1-10,prints only first ten characters of each string of file $file.
find /users/tom -name '*.p[lm]' -exec grep -l -- '->get(' {} + | xargs grep -l '#hyphenate',find all *.p[lm] files under /users/tom directory that matches both the regex '->get(' and '#hyphenate' in their contents
tree -af,list all files and sub directories including hidden files in the current directory tree
"sudo find foldername -type d -exec chmod 755 {} "";""",find all directories under foldername directory and set their permission to 755
find . -type f -exec cp -t TARGET {} \+,copy all regular files from the current directory tree to directory `target'
find /home/user/demo -type f -perm 777 -print -exec chmod 755 {} \;,"find all regular files with permissions 777 under and below /home/user/demo/, and change their permissions to 755"
"mv $(find $(find . -name ""*shp*"" -printf ""%h\n"" | uniq) -type f) ../shp_all/",find all *shp* directories under current directory and move all regular files inside those directories to ../shp_all/
w | awk '{print $1}',finds all logged in users.
find . -name '*.JUKEBOX.*.txt' -maxdepth 1 -print0 | xargs -0 -IFILE mv FILE ./JUKEBOX,find the files in the current directory that match pattern '*.jukebox.*.txt' and move them to folder ./jukebox
gunzip -c file.tar.gz | tar t > /dev/null,"test if the tar file in ""file.tar.gz"" is corrupt"
find . -name *.txt -exec ls {} \;,list all *.txt files/directories under current directory
diff --brief <(awk '{print $2}' A) <(tac B | awk '{print $2}'),test if the 2nd column in file a is in the reverse order of the second column of file b
find . -type f ! -perm 777 | head,find all the files in the current directory recursively whose permissions are not 777
find . -name photoA.jpg,find all files/directories named 'photoa.jpg' under current directory tree
$ ls -Fltr,"prints long listing of the current directory, sorted from oldest to newest, with appended indicators."
VARIABLENAME=$(date -d @133986838),format the time string @133986838 according to the default time format and save it to variable 'variablename'
cd $(find . -name $1 | xargs dirname),find all $1 files/directories under current directory and enter into the parent directory of the first one found
find . -type f -exec cat {} \; > out.txt,display the contents of all the regular files in the current folder and save the output to out.txt
finger vivek,"lookup information for user ""vivek"""
find foo/// bar/// -name foo -o -name 'bar?*',"print only the line ""foo///"" given two empty directories foo and bar"
find /path/to/dir -type f -mtime -7 -print0 | xargs -0 ls -lt | head,find all files under /path/to/dir that were modified less than 7 days ago and show only first several lines of output
find . -type f ( -iname '.cpp' -o -iname '.hpp' -o -iname '.c' -o -iname '.h' -o -iname '.cc' -o -iname '.hh' ) -print | xargs etags -a,"find c, c++ source and header files in current folder and create etags for them"
"diff --new-line-format="""" --unchanged-line-format=""""  file1 file2","output all lines from file1 except those present in file2, assuming both files are sorted."
"cat inputfile | grep ""^t\:"" | split -l 200","search ""inputfile"" for lines starting with ""t:"" and group the results in files with at most 200 lines each"
find $HOME -name '*.c' -print | xargs    grep -l sprintf,find *.c files under $home and search for the string 'sprintf' in those files
md5sum *.java | awk '{print $1}' | sort | uniq -d,"calculate a list of duplicate md5 sum hashes for all the "".java"" files in the current directory"
find -L -samefile path/to/file,find all links to path/to/file
find . -perm -600 -print,find all files that are readable and writable by their owner
"find -type f -iname ""*.txt"" -exec ls -lrt {} \;|awk -F' ' '{print $1 $2  $9}'",find only number of hard link & name of files from long list
cat input.txt | sed 's/string/longer_string/g' | column -t,"replace all instances of ""string"" with ""longer_string"" in file ""input.txt"" and re-align"
"find -maxdepth 1 -iname ""*target*""",find all files/directories that contain 'target' (case insensitive) in their names under current directory no-recursively
find -type f -iname '*.un~',find every vim undo file in the current directory tree
"top -p `pgrep process-name | tr ""\\n"" "","" | sed 's/,$//'`",monitor all processes whose command includes 'process-name'.
find . -perm /220,search for files/directories which are writable by either their owner or their group
find ./ -type f -ctime -7 -exec ls {} \; > new.files,display a long listing of all regular/normal files in current directory which have been changed in the last 7 days and save the output to new.files
"find $PWD -name ""file.ext"" -exec sh -c 'echo $(dirname {})' ';'","find all files named ""file.ext"" in the current directory tree and print the path names of the directories they are in"
find /usr -mmin 5,find all files/directories under '/usr' directory tree that have been modified exactly 5 minutes ago
mkdir -p /my/other/path/here,create intermediate directories as required and directory  /my/other/path/here
true,set the exit code($?) to '0'.
find / -fstype ext3 -name zsh*,"find all files whose names do not begin with ""zsh"" on ext3 file systems"
pwd | tr -d '\n' | pbcopy,copy current working directory to clipboard
"mount -o remount,rw /system","remount ""/system"" with read and write permission"
find . -name \*.log -print0 | xargs -I{} -0 cp -v {} /tmp/log-files,find and copy all log files in the current directory tree to /tmp/log-files
